Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""0307266303""","=""9780307266309""",5,4.27,Knopf,Hardcover,287,2009,2009,2017/12/17,2014/12/21,,,read,"This is what a nonfiction book by a magazine writer should be. Great story, compelling characters, a signature event, scientific tie-ins, historical aspects, and just enough humor to make it fun. Yes, I plan on running more and eating chia seeds. Oh - you didn't ask?",,,1,,,0,,,,,
20685373,"Without You, There Is No Us: My Time with the Sons of North Korea's Elite",Suki Kim,"Kim, Suki",,"=""0307720659""","=""9780307720658""",0,3.86,Crown,Hardcover,291,2014,2014,,2017/12/17,to-read,to-read (#488),to-read,,,,0,,,0,,,,,
8049273,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"Greene, Brian",,"=""039333810X""","=""9780393338102""",0,4.06,W. W. Norton & Company,Paperback,464,2010,1999,,2017/12/09,to-read,to-read (#487),to-read,,,,0,,,0,,,,,
30045683,The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,"Wiking, Meik",,"=""0241283914""","=""9780241283912""",0,3.73,Penguin Life,Hardcover,240,2016,2016,,2017/12/09,to-read,to-read (#486),to-read,,,,0,,,0,,,,,
23396040,Ada's Algorithm: How Lord Byron's Daughter Ada Lovelace Launched the Digital Age,James Essinger,"Essinger, James",,"=""""","=""""",0,3.28,Melville House,Kindle Edition,272,2014,2013,,2017/12/09,to-read,to-read (#485),to-read,,,,0,,,0,,,,,
34272478,Americana: A 400-Year History of American Capitalism,Bhu Srinivasan,"Srinivasan, Bhu",,"=""0399563792""","=""9780399563799""",0,4.24,Penguin Press,Hardcover,576,2017,2017,,2017/12/07,to-read,to-read (#484),to-read,,,,0,,,0,,,,,
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",5,4.31,Portfolio,Hardcover,328,2017,2017,2017/12/07,2017/12/06,,,read,This is what a true crime story should be. Bilton's telling is gripping and leaves the reader feeling empathy for Ross Ulbricht on a personal level but fully aware of his flaws and the effects of his crimes. Great book. ,,,1,,,0,,,,,
25817524,Alibaba: The House That Jack Ma Built,Duncan Clark,"Clark, Duncan",,"=""0062413406""","=""9780062413406""",0,3.94,Ecco,Hardcover,304,2016,2016,,2017/12/07,to-read,to-read (#483),to-read,,,,0,,,0,,,,,
34138013,What Happened,Hillary Rodham Clinton,"Clinton, Hillary Rodham",,"=""1501175564""","=""9781501175565""",0,4.04,Simon & Schuster,Hardcover,464,2017,2017,,2017/12/06,to-read,to-read (#482),to-read,,,,0,,,0,,,,,
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.14,W. W. Norton  Company,Hardcover,222,2017,2017,,2017/12/06,to-read,to-read (#481),to-read,,,,0,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.18,Penguin Press,Hardcover,338,2017,2017,,2017/12/06,to-read,to-read (#480),to-read,,,,0,,,0,,,,,
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",5,3.95,Harper,Hardcover,272,2016,2016,2017/02/12,2017/02/12,favs-fam,favs-fam (#30),read,"Absolutely stunning. <br/><br/>I expected much more political, racial, and socioeconomic analysis than is presented, but was pleasantly surprised by the lack thereof. Vance entirely succeeds in introducing and humanizing a group and culture that are often marginalized or even explicitly objectified (white trash, anyone?). <br/><br/>I have spent the majority of my life interacting with the Pacific Northwest version of this story in an economically-troubled logging town in Washington; the similarities in narrative and outcomes are haunting and tragic. Vance excels in crafting a cohesive narrative rather than an argument -- though the book achieves both functions -- and its intensely personal nature removes any perception of political positioning, despite specific statements revealing political leanings. <br/><br/>I read this during one caffeine-fueled focus binge, revealing both the book's inherent readability and optimal length as well as the extent to which reading is tearing my schedule apart in a dubiously beneficial process of cathartic sleep deprivation. <br/><br/>Read this book; you will not regret it.",,,2,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.44,Doubleday Canada,Hardcover,304,2016,2016,2017/03/16,2017/01/08,favs-fam,favs-fam (#29),read,,,,1,,,0,,,,,
8508,The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,"Jefferson, Thomas",,"=""1557091846""","=""9781557091840""",5,3.82,Applewood Books,Hardcover,103,2006,1819,2017/03/26,2017/02/20,favs-fam,favs-fam (#28),read,,,,1,,,0,,,,,
